company_id,company_name,company_profile_url,country,city,address,website,phone,contact_person,contact_designation,member_status,member_since,verified,verification_details,legal_entity,established_year,primary_business,role,products_listed_count,deal_focus,description,search_terms,category_types,search_tab,scrape_date
4528447,"BBB International Co., Ltd.",https://www.go4worldbusiness.com/member/view/4528447/bbb-international-co-ltd-.html,Thailand,Phon Phisai District,"125 Village No. 12, Na Nang Subdistrict, Phon Phisai District, Nong Khai Province Phon Phisai District 43120 Nong Khai Thailand",https://www.go4worldbusiness.com/member/view/4528447/bbb-international-co-ltd-.html,NULL,Marisa Yiamweha,Ceo,GOLD,"September, 2025",yes,Company Registration Certificate Verified,"BBB International Co., Ltd.",2025,Service Provider,Supplier and Service Provider,1,"Sells Sugar, rice and sunflower oil | Services Trading","BBB International Co., Ltd. is a gold supplier and service provider from Phon Phisai District, Thailand. They are a service provider specializing in sugar, rice, sunflower oil and cashew nuts. They provide services such as trading. Founded in 2025, they report annual sales of USD 1 million to USD 5 million. They list 1 product.",Gum Acacia Soluble Fibre; Acai Berry Fruit Extract; Acai Berry Fruit Powder; Acerola Cherry Fruit Fibre; Adipic Acid,Acacia Fiber; Acai Berry Extract & Products; Acerola Cherry Extract & Products; Adipic Acid,suppliers,2026-07-20
3308743,Baba Thai Group,https://www.go4worldbusiness.com/member/view/3308743/baba-thai-group.html,Thailand,Chonburi,"12 Soi, Bangkok 25/3, Thailand Chonburi 10008 Thailand",https://www.go4worldbusiness.com/member/view/3308743/baba-thai-group.html,NULL,Onanong Tojit,Ceo,GOLD,"May, 2021",yes,Company Registration Certificate Verified,Baba Thai Group,2018,Manufacturer/ OEM,Supplier,116,"Sells Rice, sugar and tuna can","Baba Thai Group is a gold supplier from Chonburi, Thailand. They are a manufacturer/oem specializing in rice, sugar, tuna can and used car parts. Founded in 2018, they report annual sales of USD 250,000 to USD 1 million. They list 116 products.",Gum Acacia Soluble Fibre; Acai Berry Fruit Extract; Acai Berry Fruit Juice Powder; Acai Berry Fruit Powder; Acerola Cherry Fruit Fibre; Acerola Cherry Fruit Juice Extract; Acerola Cherry Fruit Juice Powder; Acesulfame-K; Adipic Acid,Acacia Fiber; Acai Berry Extract & Products; Acerola Cherry Extract & Products; Acesulfame; Adipic Acid,suppliers,2026-07-20
1447885,"Namo Group Co., Ltd.",https://www.go4worldbusiness.com/member/view/1447885/namo-group-co-ltd-.html,Thailand,Bangkok,211/4 Daokhang Road Bangkok 10300 Thailand,https://www.go4worldbusiness.com/member/view/1447885/namo-group-co-ltd-.html,NULL,Anjany Pandey,Manager,Premium,"December, 2016",NULL,NULL,"Namo Group Co., Ltd.",NULL,Manufacturer/ OEM,Supplier,14,"Sells Coir fiber, coco peat and coir peat","Namo Group Co., Ltd. is a junior supplier from Bangkok, Thailand. They are a manufacturer/oem specializing in coir fiber, coco peat, coir peat and coir pith. They list 14 products.",Gum Acacia Soluble Fibre,Acacia Fiber,suppliers,2026-07-20
1489910,"All Organic Co., Ltd.",https://www.go4worldbusiness.com/member/view/1489910/all-organic-co-ltd-.html,Thailand,Bangkok,Bangkok Bangkok 10170 Thailand,https://www.go4worldbusiness.com/member/view/1489910/all-organic-co-ltd-.html,NULL,Phavana S. Phone: Not displayed by user.,NULL,Premium,"June, 2017",NULL,NULL,"All Organic Co., Ltd.",2016,Manufacturer/ OEM,Supplier and Service Provider,2,"Sells Thai herbal whitening toothpaste, Thai herbal deodorant powder and Thai herbal rice milk soap | Services OEM (Create your own brands) and Supplier of all organic Thailand products","All Organic Co., Ltd. is a junior supplier and service provider from Bangkok, Thailand. They are a manufacturer/oem specializing in thai herbal whitening toothpaste, thai herbal deodorant powder and thai herbal rice milk soap. They provide services such as oem (create your own brands) and supplier of all organic thailand products. Founded in 2016. They are Certificate of Products, Origins and Thai FDA approved...",Gum Acacia Soluble Fibre,Acacia Fiber,suppliers,2026-07-20
1691224,"Brom's Cosmetics Co., Ltd",https://www.go4worldbusiness.com/member/view/1691224/brom-s-cosmetics-co-ltd.html,Thailand,Rajthevee,"39/29, Soi Somprasong -3, Phetburi Road, Thanon Phayathai Rajthevee 10400 Bangkok Thailand",http://www.bromscosmetics.com,NULL,Bromchit Khaniyomdee,Managing Director,Premium,"January, 2019",NULL,NULL,"Brom's Cosmetics Co., Ltd",2010,Manufacturer/ OEM,Supplier and Service Provider,4,"Sells Herbal toothpaste, herbal shampoo and machine soaps | Services Shipping","Brom's Cosmetics Co., Ltd is a junior supplier and service provider from Rajthevee, Thailand. They are a manufacturer/oem specializing in herbal toothpaste, herbal shampoo, machine soaps and lotions. They provide services such as shipping. Founded in 2010, they report annual sales of USD 5 million to USD 15 million. They list 4 products.",Gum Acacia Soluble Fibre,Acacia Fiber,suppliers,2026-07-20
3826899,Vorra Thaitrade,https://www.go4worldbusiness.com/member/view/3826899/vorra-thaitrade.html,Thailand,Bangkok,"239/1 Pradu District, Area Bangsue Bangkok Bangkok 10800 Thailand",http://www.vorrathaitrade.com,NULL,Vorrapol Thosaphorn,Chairman,Premium,"January, 2023",NULL,NULL,Vorra Thaitrade,2022,Distributor,Supplier,19,"Sells Dried herbs and herbal powder variety of premium quality, food ingredients and vegetables","Vorra Thaitrade is a junior supplier from Bangkok, Thailand. They are a distributor specializing in dried herbs and herbal powder variety of premium quality, food ingredients, vegetables and butterfly pea and butterfly pea powder. Founded in 2022. They list 19 products.",Gum Acacia Soluble Fibre; Adipic Acid,Acacia Fiber; Adipic Acid,suppliers,2026-07-20
1546271,Cresco Foods,https://www.go4worldbusiness.com/member/view/1546271/cresco-foods.html,Thailand,Bangkok,"75/75 Richmond Office Building 20th Floor, Sukhumvit Soi 26 Khlong Tan Klongtoey, Bangkok Bangkok 10110 Thailand",http://www.crescofoods.com,NULL,Paul Donohoe Phone: Not displayed by user.,NULL,Premium,"February, 2018",yes,VERIFIED Fetching... Verification Status Company Registration Certificate Identity Proof Of Representative Company Address Proof − Trading License − Proof of Prior Export/Import Proof of Product − Company Representative Verified on Video Call − Other Documents like Mandates and Certifications,Cresco Foods,NULL,NULL,Supplier,85,"Sells Avocado, banana (cavendish) and banana flower","Cresco Foods is a verified junior supplier from Bangkok, Thailand. They supply avocado, banana (cavendish), banana flower and cantaloupe. They list 85 products.",Gum Acacia Soluble Fibre; Acai Berry Fruit Extract; Acai Berry Fruit Juice Powder; Acai Berry Fruit Powder; Acerola Cherry Fruit Fibre; Acerola Cherry Fruit Juice Extract; Acerola Cherry Fruit Juice Powder; Acesulfame-K; Adipic Acid,Acacia Fiber; Acai Berry Extract & Products; Acerola Cherry Extract & Products; Acesulfame; Adipic Acid,suppliers,2026-07-20
1441279,Portpro Duct Co. Ltd.,https://www.go4worldbusiness.com/member/view/1441279/portpro-duct-co-ltd-.html,Thailand,Khon Kaen,41/14 Nangkana Chum Phae Khon Kaen 40130 Thailand,http://www.portproduct.net,NULL,Tanakorn,Directing Manager,GOLD,"November, 2016",NULL,NULL,Portpro Duct Co. Ltd.,2015,Buying Agent,Supplier,65,"Sells Fresh fruit, dried fruit and frozen fruit","Portpro Duct Co. Ltd. is a junior supplier from Khon Kaen, Thailand. They are a buying agent specializing in fresh fruit, dried fruit, frozen fruit and fresh vegetables. Founded in 2015, they report annual sales of around USD 250,000. They list 65 products.",Gum Acacia Soluble Fibre; Acai Berry Fruit Extract; Acai Berry Fruit Juice Powder; Acai Berry Fruit Powder; Acerola Cherry Fruit Fibre; Acerola Cherry Fruit Juice Extract; Acerola Cherry Fruit Juice Powder; Adipic Acid,Acacia Fiber; Acai Berry Extract & Products; Acerola Cherry Extract & Products; Adipic Acid,suppliers,2026-07-20
3807269,App Prime Tradings. Co. Ltd,https://www.go4worldbusiness.com/member/view/3807269/app-prime-tradings-co-ltd.html,Thailand,Bangkok,"83/147, Soi Wani, 14/2, Bang Phun, Pathum Thani, Bangkok, Thailand, 12000 Bangkok 12000 Thailand",https://www.go4worldbusiness.com/member/view/3807269/app-prime-tradings-co-ltd.html,NULL,Prawit Chom,Director,Premium,"January, 2023",yes,Company Registration Certificate Verified,App Prime Tradings. Co. Ltd,1992,Manufacturer/ OEM,Supplier,13,"Sells Sugar, sunflower oil and rice","App Prime Tradings. Co. Ltd is a junior supplier from Bangkok, Thailand. They are a manufacturer/oem specializing in sugar, sunflower oil, rice and fresh garlic. Founded in 1992, they report annual sales of USD 1 million to USD 5 million. They list 13 products.",Gum Acacia Soluble Fibre; Acesulfame-K; Adipic Acid,Acacia Fiber; Acesulfame; Adipic Acid,suppliers,2026-07-20
1563689,Thapsakae Coconut Products,https://www.go4worldbusiness.com/member/view/1563689/thapsakae-coconut-products.html,Thailand,Prachubkirikhan,310/1 Thapsake Prachubkirikhan 77130 Thailand,https://www.go4worldbusiness.com/member/view/1563689/thapsakae-coconut-products.html,NULL,Dumrongkiat Phone: Not displayed by user.,NULL,Premium,"April, 2018",NULL,NULL,Thapsakae Coconut Products,NULL,Manufacturer/ OEM,Supplier,2,Sells Coconut fiber and coconut peat,"Thapsakae Coconut Products is a junior supplier from Prachubkirikhan, Thailand. They are a manufacturer/oem specializing in coconut fiber and coconut peat. They list 2 products.",Gum Acacia Soluble Fibre,Acacia Fiber,suppliers,2026-07-20
